frame,cell_x,cell_y,density,avg_velocity,congestion,turbulence
8,0,0,0,0.0,0.0,0.0
8,1,0,1,2.8086192750827648,0.3560455660245626,0.0
8,2,0,1,2.696711804064614,0.3708206009580808,0.0
8,3,0,1,1.154328094780582,0.8662973218345368,0.0
8,4,0,0,0.0,0.0,0.0
8,0,1,0,0.0,0.0,0.0
8,1,1,2,0.5523102546910867,3.621087553847907,0.2540250000000077
8,2,1,1,1.6595014072986478,0.6025869997650692,0.0
8,3,1,1,0.8359940324007656,1.1961664791595379,0.0
8,4,1,1,0.4561752273659869,2.19209202756082,0.0
8,0,2,0,0.0,0.0,0.0
8,1,2,1,0.7930872714832625,1.260879385109704,0.0
8,2,2,0,0.0,0.0,0.0
8,3,2,0,0.0,0.0,0.0
8,4,2,1,1.050037117596706,0.952338217249478,0.0
8,0,3,0,0.0,0.0,0.0
8,1,3,0,0.0,0.0,0.0
8,2,3,0,0.0,0.0,0.0
8,3,3,0,0.0,0.0,0.0
8,4,3,0,0.0,0.0,0.0
8,0,4,0,0.0,0.0,0.0
8,1,4,0,0.0,0.0,0.0
8,2,4,0,0.0,0.0,0.0
8,3,4,0,0.0,0.0,0.0
8,4,4,0,0.0,0.0,0.0
10,0,0,0,0.0,0.0,0.0
10,1,0,1,2.9420956613605913,0.33989261947089455,0.0
10,2,0,0,0.0,0.0,0.0
10,3,0,1,1.4227296006645909,0.7028693089957427,0.0
10,4,0,0,0.0,0.0,0.0
10,0,1,0,0.0,0.0,0.0
10,1,1,2,0.416702418063067,4.7994730017796385,0.05525000000000123
10,2,1,1,2.388992644130998,0.41858471879747583,0.0
10,3,1,1,1.1280401368664947,0.8864854205663293,0.0
10,4,1,1,0.393950372568092,2.5383263638455418,0.0
10,0,2,0,0.0,0.0,0.0
10,1,2,1,1.5060061881281828,0.6640034867373459,0.0
10,2,2,0,0.0,0.0,0.0
10,3,2,0,0.0,0.0,0.0
10,4,2,1,1.0212145427444832,0.9792165759281073,0.0
10,0,3,0,0.0,0.0,0.0
10,1,3,0,0.0,0.0,0.0
10,2,3,0,0.0,0.0,0.0
10,3,3,0,0.0,0.0,0.0
10,4,3,0,0.0,0.0,0.0
10,0,4,0,0.0,0.0,0.0
10,1,4,0,0.0,0.0,0.0
10,2,4,0,0.0,0.0,0.0
10,3,4,0,0.0,0.0,0.0
10,4,4,0,0.0,0.0,0.0
12,0,0,0,0.0,0.0,0.0
12,1,0,1,3.005065621697684,0.3327703279011199,0.0
12,2,0,0,0.0,0.0,0.0
12,3,0,2,1.5700700671926988,1.2738203877564012,0.4628000000000178
12,4,0,0,0.0,0.0,0.0
12,0,1,0,0.0,0.0,0.0
12,1,1,2,0.4330085486209551,4.618739789252561,0.02605000000000049
12,2,1,1,2.5923089318243306,0.38575500403272345,0.0
12,3,1,1,1.5486936529602497,0.645701324516516,0.0
12,4,1,1,0.6609775050113859,1.5128879024464683,0.0
12,0,2,0,0.0,0.0,0.0
12,1,2,1,2.5631754918403113,0.39013953659749445,0.0
12,2,2,2,0.9758753654856527,2.0494210393294434,0.08982499999998894
12,3,2,0,0.0,0.0,0.0
12,4,2,1,0.113135953630329,8.838141956602398,0.0
12,0,3,0,0.0,0.0,0.0
12,1,3,0,0.0,0.0,0.0
12,2,3,0,0.0,0.0,0.0
12,3,3,0,0.0,0.0,0.0
12,4,3,0,0.0,0.0,0.0
12,0,4,0,0.0,0.0,0.0
12,1,4,0,0.0,0.0,0.0
12,2,4,0,0.0,0.0,0.0
12,3,4,0,0.0,0.0,0.0
12,4,4,0,0.0,0.0,0.0
14,0,0,0,0.0,0.0,0.0
14,1,0,1,2.7576888697388475,0.3626211733896455,0.0
14,2,0,0,0.0,0.0,0.0
14,3,0,3,1.4966659090036791,2.004441964992319,2.54808888888886
14,4,0,0,0.0,0.0,0.0
14,0,1,0,0.0,0.0,0.0
14,1,1,2,0.8783131117226445,2.277066347573872,0.20952499999999336
14,2,1,3,2.424727292204178,1.2372474369266149,6.423777777777833
14,3,1,1,2.22029308999493,0.4503889601857391,0.0
14,4,1,1,1.5494360214995264,0.645391956947437,0.0
14,0,2,0,0.0,0.0,0.0
14,1,2,1,4.021215810529358,0.24868038929362166,0.0
14,2,2,1,1.1744242906265905,0.8514737759116984,0.0
14,3,2,0,0.0,0.0,0.0
14,4,2,1,0.358465381924856,2.789591839278997,0.0
14,0,3,0,0.0,0.0,0.0
14,1,3,0,0.0,0.0,0.0
14,2,3,0,0.0,0.0,0.0
14,3,3,0,0.0,0.0,0.0
14,4,3,0,0.0,0.0,0.0
14,0,4,0,0.0,0.0,0.0
14,1,4,0,0.0,0.0,0.0
14,2,4,0,0.0,0.0,0.0
14,3,4,0,0.0,0.0,0.0
14,4,4,0,0.0,0.0,0.0
16,0,0,0,0.0,0.0,0.0
16,1,0,1,2.516420742224872,0.39738824646366466,0.0
16,2,0,1,5.934551003956867,0.16850446045347758,0.0
16,3,0,3,0.9779346683472888,3.0676582194266198,0.7569777777777903
16,4,0,0,0.0,0.0,0.0
16,0,1,0,0.0,0.0,0.0
16,1,1,2,0.9873302548845401,2.0256441384878823,0.3480499999999995
16,2,1,3,2.0522738021568814,1.4617861315511531,4.853911111111038
16,3,1,1,2.58276336237001,0.3871807006257715,0.0
16,4,1,1,1.7202444055679147,0.5813093672443558,0.0
16,0,2,0,0.0,0.0,0.0
16,1,2,0,0.0,0.0,0.0
16,2,2,2,4.349341201812631,0.4598386994286601,18.914000000000087
16,3,2,0,0.0,0.0,0.0
16,4,2,1,0.904700851246214,1.1053255287283532,0.0
16,0,3,0,0.0,0.0,0.0
16,1,3,0,0.0,0.0,0.0
16,2,3,0,0.0,0.0,0.0
16,3,3,0,0.0,0.0,0.0
16,4,3,0,0.0,0.0,0.0
16,0,4,0,0.0,0.0,0.0
16,1,4,0,0.0,0.0,0.0
16,2,4,0,0.0,0.0,0.0
16,3,4,0,0.0,0.0,0.0
16,4,4,0,0.0,0.0,0.0
18,0,0,0,0.0,0.0,0.0
18,1,0,1,3.133528940180038,0.31912799524442637,0.0
