frame,cell_x,cell_y,density,avg_velocity,congestion,turbulence,flow_conflict
8,0,0,1,0.5481733212134028,1.8242072702732033,0.0,0.0
8,1,0,2,1.3176454914468598,1.5178474289997361,0.45922499999995725,0.5469924991114187
8,2,0,2,0.9080110955094465,2.202591999118586,0.7825250000000341,0.8834585928958295
8,3,0,0,0.0,0.0,0.0,0.0
8,4,0,0,0.0,0.0,0.0,0.0
8,0,1,0,0.0,0.0,0.0,0.0
8,1,1,2,0.6916489945037592,2.891598339489432,0.10704999999998831,0.5105267675309806
8,2,1,2,1.7716206893772062,1.128903451488004,0.9288249999999767,0.5480883682374309
8,3,1,1,0.4465378058572672,2.239401889077104,0.0,0.0
8,4,1,0,0.0,0.0,0.0,0.0
8,0,2,0,0.0,0.0,0.0,0.0
8,1,2,1,2.156665707845195,0.4636765724037076,0.0,0.0
8,2,2,0,0.0,0.0,0.0,0.0
8,3,2,0,0.0,0.0,0.0,0.0
8,4,2,1,0.4802034861069276,2.0824071562566098,0.0,0.0
8,0,3,0,0.0,0.0,0.0,0.0
8,1,3,0,0.0,0.0,0.0,0.0
8,2,3,0,0.0,0.0,0.0,0.0
8,3,3,0,0.0,0.0,0.0,0.0
8,4,3,0,0.0,0.0,0.0,0.0
8,0,4,0,0.0,0.0,0.0,0.0
8,1,4,0,0.0,0.0,0.0,0.0
8,2,4,0,0.0,0.0,0.0,0.0
8,3,4,0,0.0,0.0,0.0,0.0
8,4,4,0,0.0,0.0,0.0,0.0
10,0,0,0,0.0,0.0,0.0,0.0
10,1,0,3,1.2095544080621927,2.4802317098650506,1.016688888888887,0.7351148673750609
10,2,0,2,1.6003087357911063,1.2497510372590332,2.4621249999999333,0.9008790210941029
10,3,0,1,1.180665964792045,0.8469724376714419,0.0,0.0
10,4,0,0,0.0,0.0,0.0,0.0
10,0,1,1,0.9667374557139896,1.0343963090768642,0.0,0.0
10,1,1,2,2.062457901718101,0.9697120611350785,0.9562499999999595,0.5323684985484465
10,2,1,2,2.0493361394317673,0.9759210323320736,4.0789249999999155,0.902437721277165
10,3,1,1,1.3641710965118372,0.7330405050744102,0.0,0.0
10,4,1,1,0.14317677886497163,6.983885020159735,0.0,0.0
10,0,2,0,0.0,0.0,0.0,0.0
10,1,2,1,3.6402383125250743,0.2747065348699648,0.0,0.0
10,2,2,1,1.9985795238614945,0.5003528678904962,0.0,0.0
10,3,2,0,0.0,0.0,0.0,0.0
10,4,2,1,0.08062177126525584,12.402059192154931,0.0,0.0
10,0,3,0,0.0,0.0,0.0,0.0
10,1,3,0,0.0,0.0,0.0,0.0
10,2,3,0,0.0,0.0,0.0,0.0
10,3,3,0,0.0,0.0,0.0,0.0
10,4,3,0,0.0,0.0,0.0,0.0
10,0,4,0,0.0,0.0,0.0,0.0
10,1,4,0,0.0,0.0,0.0,0.0
10,2,4,0,0.0,0.0,0.0,0.0
10,3,4,0,0.0,0.0,0.0,0.0
