frame,cell_x,cell_y,density,avg_velocity,congestion,turbulence,flow_conflict,density_n,congestion_n,turbulence_n,flow_conflict_n,risk,risk_level
8,0,0,1,0.5481733212134028,1.8242072702732035,0.0,0.0,0.14285693877580175,1.8242072700907827e-05,0.0,0.0,0.035719707315760706,SAFE
8,1,0,2,1.3176454914468598,1.517847428999736,0.4592249999999572,0.5469924991114187,0.2857138775516035,1.517847428847951e-05,0.00043786229624804835,0.5492090471037594,0.20882285716537685,SAFE
8,2,0,2,0.9080110955094464,2.202591999118586,0.7825250000000341,0.8834585928958295,0.2857138775516035,2.202591998898327e-05,0.0007461226923001816,0.8870385841636814,0.29334394774327793,SAFE
8,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,1,1,2,0.6916489945037592,2.891598339489432,0.1070499999999883,0.5105267675309806,0.2857138775516035,2.8915983392002717e-05,0.00010207013732560906,0.5125955474200015,0.19960644506538397,SAFE
8,2,1,2,1.7716206893772062,1.128903451488004,0.9288249999999768,0.5480883682374309,0.2857138775516035,1.1289034513751137e-05,0.0008856169575101993,0.5503093569607049,0.20918631872993326,SAFE
8,3,1,1,0.4465378058572672,2.239401889077104,0.0,0.0,0.14285693877580175,2.2394018888531638e-05,0.0,0.0,0.035720952899617,SAFE
8,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,1,2,1,2.156665707845195,0.4636765724037076,0.0,0.0,0.14285693877580175,4.636765723573399e-06,0.0,0.0,0.03571562572366751,SAFE
8,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,4,2,1,0.4802034861069276,2.0824071562566098,0.0,0.0,0.14285693877580175,2.082407156048369e-05,0.0,0.0,0.03572048191541858,SAFE
8,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
8,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAFE
10,1,0,3,1.2095544080621927,2.4802317098650506,1.016688888888887,0.7351148673750609,0.4285708163274053,2.4802317096170272e-05,0.000969393503095011,0.7380937334217927,0.2918674568330474,SAFE
10,2,0,2,1.6003087357911063,1.2497510372590332,2.4621249999999333,0.9008790210941028,0.2857138775516035,1.2497510371340582e-05,0.0023475893214650713,0.9045296042168911,0.29803413755952807,SAFE
