frame,obj_id,cx,cy,velocity,dx,dy
10,0,42.65,491.94,2.3970398411373814,-0.7700000000000031,-2.269999999999982
12,0,42.28,490.72,1.274872542648843,-0.36999999999999744,-1.2199999999999704
14,0,40.39,490.91,1.8995262567282403,-1.8900000000000006,0.18999999999999773
16,0,41.0,494.74,3.8782728114458216,0.6099999999999994,3.829999999999984
10,1,364.02,350.14,2.5660280590827385,2.4599999999999795,-0.7300000000000182
12,1,365.16,348.24,2.215761720041217,1.1400000000000432,-1.8999999999999773
14,1,365.5,346.06,2.2063544592834607,0.339999999999975,-2.180000000000007
16,1,366.02,343.91,2.211990054227162,0.5199999999999818,-2.1499999999999773
18,1,366.74,341.94,2.0974508337503757,0.7200000000000273,-1.9700000000000273
20,1,367.37,340.49,1.5809490820390015,0.6299999999999955,-1.4499999999999886
22,1,367.93,339.37,1.2521980673998874,0.5600000000000023,-1.1200000000000045
24,1,368.24,338.54,0.8860022573334534,0.3100000000000023,-0.8299999999999841
26,1,368.46,337.32,1.2396773773849603,0.21999999999997044,-1.2200000000000273
28,1,368.89,336.67,0.7793587107359334,0.4300000000000068,-0.6499999999999773
30,1,369.39,335.92,0.9013878188659973,0.5,-0.75
32,1,370.03,334.94,1.1704699910719703,0.6399999999999864,-0.9800000000000182
34,1,370.37,333.45,1.5282997088267891,0.34000000000003183,-1.490000000000009
36,1,370.17,331.77,1.6918628786045335,-0.19999999999998863,-1.6800000000000068
38,1,369.82,330.15,1.6573774464496707,-0.35000000000002274,-1.6200000000000045
40,1,369.73,328.12,2.0319940944795793,-0.08999999999997499,-2.0299999999999727
42,1,369.86,325.85,2.2737194198053365,0.12999999999999545,-2.269999999999982
44,1,369.82,322.9,2.950271173977109,-0.040000000000020464,-2.9500000000000455
46,1,369.51,319.77,3.1453139747885226,-0.3100000000000023,-3.1299999999999955
48,1,369.38,316.11,3.6623080154459657,-0.12999999999999545,-3.659999999999968
50,1,369.72,313.53,2.6023066690919103,0.34000000000003183,-2.580000000000041
52,1,370.27,311.83,1.786756838520539,0.5499999999999545,-1.6999999999999886
54,1,370.61,310.52,1.3534031180694197,0.34000000000003183,-1.3100000000000023
56,1,372.59,309.54,2.2092532675091308,1.9799999999999613,-0.9799999999999613
58,1,374.37,309.03,1.8516209115259403,1.7800000000000296,-0.5100000000000477
60,1,376.05,308.69,1.714059508885268,1.6800000000000068,-0.339999999999975
