frame,cell_x,cell_y,density,avg_velocity,congestion,turbulence,density_n,congestion_n,turbulence_n,risk
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0,1,2.8086192750827648,0.3560455660245626,0.0,0.19999960000080003,0.032828981179200446,0.0,0.07313147247192019
8,2,0,1,2.696711804064614,0.3708206009580808,0.0,0.19999960000080003,0.03419130496592901,0.0,0.07367640198661161
8,3,0,1,1.154328094780582,0.8662973218345368,0.0,0.19999960000080003,0.0798764573637066,0.0,0.09195046294572265
8,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,2,0.5523102546910867,3.621087553847907,0.2540250000000077,0.39999920000160005,0.33388034144289536,0.00033549143373587555,0.25365254400775894
8,2,1,1,1.6595014072986478,0.6025869997650692,0.0,0.19999960000080003,0.0555611954250642,0.0,0.08222435817026569
8,3,1,1,0.8359940324007656,1.196166479159538,0.0,0.19999960000080003,0.11029185750008717,0.0,0.10411662300027488
8,4,1,1,0.4561752273659869,2.19209202756082,0.0,0.19999960000080003,0.20212061259289743,0.0,0.140848125037399
8,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,2,1,0.7930872714832625,1.260879385109704,0.0,0.19999960000080003,0.11625867459939856,0.0,0.10650334983999943
8,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,2,1,1.050037117596706,0.952338217249478,0.0,0.19999960000080003,0.08780980973699186,0.0,0.09512380389503675
8,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0,1,2.9420956613605918,0.3398926194708945,0.0,0.19999960000080003,0.031339607826458234,0.0,0.0725357231308233
10,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,0,1,1.4227296006645909,0.7028693089957427,0.0,0.19999960000080003,0.0648076693500152,0.0,0.08592294774024609
10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,1,2,0.416702418063067,4.799473001779639,0.0552500000000012,0.39999920000160005,0.44253270895847835,7.296880903024098e-05,0.29703473422658044
10,2,1,1,2.388992644130998,0.4185847187974758,0.0,0.19999960000080003,0.03859536858929803,0.0,0.07543802743595922
10,3,1,1,1.1280401368664947,0.8864854205663293,0.0,0.19999960000080003,0.08173788965370775,0.0,0.09269503586172312
10,4,1,1,0.393950372568092,2.5383263638455418,0.0,0.19999960000080003,0.2340449548516631,0.0,0.15361786194090526
10,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,2,1,1.5060061881281828,0.6640034867373459,0.0,0.19999960000080003,0.06122406806638894,0.0,0.08448950722679559
10,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,2,1,1.0212145427444832,0.9792165759281072,0.0,0.19999960000080003,0.09028811368286278,0.0,0.09611512547338513
10,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0,1,3.005065621697684,0.3327703279011199,0.0,0.19999960000080003,0.030682900937765288,0.0,0.07227304037534613
12,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,0,2,1.5700700671926988,1.2738203877564012,0.4628000000000178,0.39999920000160005,0.1174518924705603,0.0006112210827003817,0.16716388331351426
12,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,1,2,0.4330085486209551,4.618739789252561,0.0260500000000004,0.39999920000160005,0.4258683047397818,3.4404298194348694e-05,0.29035740318585107
12,2,1,1,2.59230893182433,0.3857550040327234,0.0,0.19999960000080003,0.03556832320248307,0.0,0.07422720928123323
12,3,1,1,1.5486936529602495,0.645701324516516,0.0,0.19999960000080003,0.059536527491751236,0.0,0.08381449099694051
12,4,1,1,0.6609775050113859,1.5128879024464683,0.0,0.19999960000080003,0.13949497821362783,0.0,0.11579787128569113
12,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,2,1,2.563175491840312,0.3901395365974944,0.0,0.19999960000080003,0.035972596561805084,0.0,0.07438891862496204
12,2,2,2,0.9758753654856528,2.0494210393294434,0.0898249999999889,0.39999920000160005,0.18896571435961154,0.0001186320954052569,0.19562163537294622
12,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,2,1,0.113135953630329,8.838141956602398,0.0,0.19999960000080003,0.8149159086350916,0.0,0.38596624345427666
12,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
