frame,people_count,fps
0,13,5.474978005080369
1,13,8.667529085987063
2,12,10.657966087051536
3,11,11.535362647275608
4,11,9.603267713470618
5,11,10.369005003658803
6,11,12.252224461776649
7,9,12.567466583568795
8,10,12.660329917445177
9,11,12.57323061242843
10,14,12.771197768704003
11,14,12.840793659054798
12,13,12.793401840481442
13,14,11.987116355769203
14,14,12.477588674002742
15,12,12.399242027841582
16,13,12.632076039947476
17,11,12.387523590408486
18,11,12.28290211582107
19,11,12.48471967971901
20,13,12.73900300380563
21,13,11.993834803620194
22,14,12.242282725447158
23,12,12.761949387963744
24,10,12.548478973696177
25,10,12.598685554314
26,10,12.648227446533902
27,11,12.598761241641986
28,9,12.397226343822231
29,11,12.403862248443716
30,11,12.496808986085869
31,10,12.537376249461953
32,10,12.770342314144703
33,10,12.970523112699924
34,11,12.838906965994974
35,11,12.945262852504452
36,11,12.163502277953873
37,10,12.679926114703598
38,10,13.007771843967673
39,11,12.694701541776887
40,10,12.738113170873929
41,11,12.990287413280475
42,11,12.667288810768529
43,11,12.84232700551133
44,11,12.726440799334899
45,12,12.960102832847184
46,10,12.995922414327323
47,10,13.024211353283299
48,10,11.92892084366681
49,10,7.646736881254455
50,12,12.82034478542609
51,11,12.685218285472335
52,12,12.768048706240487
53,12,12.505863375742054
54,12,13.035464211013766
55,12,11.903124556574056
56,12,12.850629157232627
57,12,13.458811449107944
58,12,12.84677184696481
59,12,12.863714013194013
60,11,12.83721727420194
61,11,12.688710467881194
62,10,12.529773231724258
63,11,12.493347193966455
64,12,12.729105779881944
65,11,13.032183493764022
66,9,12.849487466990178
67,11,12.895432814253432
68,10,12.64719770593929
69,11,12.909244799281025
70,10,12.712169337827024
71,11,12.716293199368172
72,12,12.63382632006988
73,12,12.636110023197663
74,13,12.634092709566454
75,12,12.819326010281614
76,13,12.782796590282244
77,13,12.82697077289589
78,11,12.701044414095502
79,12,12.86726570481061
80,13,12.8084821796661
81,12,13.088507974548847
82,11,12.846063613114653
83,12,12.478405355150613
84,12,12.860676899679273
85,13,12.769525850783348
86,14,12.606902936287755
87,12,12.640108490921419
88,13,12.787200312187508
89,11,12.851259142147175
90,13,12.633750210848454
91,12,12.687827646811485
92,12,12.54757802029485
93,11,12.958661344340497
94,12,12.419618851342548
95,12,12.485946142259214
96,11,9.970959367838498
97,12,11.548829781375627
98,11,11.282562790685162
99,12,11.978592031986292
100,11,11.556052712059136
101,12,11.667210948691915
102,11,12.473061745209936
103,12,12.641022781727601
104,12,12.579414922651504
105,11,12.338329298319413
106,11,12.317277591462519
107,12,12.393013848794915
108,11,12.519861975093429
109,14,12.387487005008978
110,13,12.202463590185205
111,13,11.736225484846704
112,13,12.453877376502062
113,13,12.546564602347
114,13,11.099477880719693
115,12,12.59066785139646
116,13,12.745428964729262
117,15,12.75713620920917
118,12,12.518180488692968
119,12,12.648456300549448
120,11,11.936593223329595
121,13,12.385145988850043
122,14,12.959862562492662
123,13,12.785719075983247
124,13,12.932250893382953
125,13,12.552309469513327
126,13,12.845748867579545
127,13,12.888339878439254
128,15,13.044220871106688
129,13,12.271366546126929
130,12,12.694394169597404
131,11,12.784004389039593
132,12,12.690130916110215
133,14,12.337167951572624
134,11,12.295865030854698
135,12,12.64635878200934
136,14,12.742137753366062
137,14,12.323466068852449
138,13,12.569990050228364
139,12,12.555390583840222
140,12,12.9252767300249
141,12,12.633521888686076
142,12,12.841501311918094
143,12,13.047872952668337
144,10,12.708625725678411
145,9,12.876390696760566
146,12,12.634891945463638
147,12,12.686676325667635
148,11,12.790241819900588
149,11,12.71906964050157
150,12,12.72319798093782
151,13,12.648685162846803
152,11,12.132750556116413
153,12,12.592293258477566
154,11,12.689324676739135
155,9,11.888145028258515
156,9,12.612248089055143
157,11,12.863556205740643
158,10,13.171865627816562
159,8,13.089324890696144
160,9,12.691167660141003
161,9,12.447557262329429
162,12,12.774659641214631
163,10,11.59823356828608
164,10,12.83592083559032
165,11,12.80891245129057
166,11,7.621863750433855
167,10,11.353631599462947
168,11,12.762260040346996
169,13,12.544088047493009
170,13,12.926192904977487
171,14,12.662088036492186
172,13,12.010870281121047
173,12,12.562723703009263
174,13,12.563965539965732
175,14,12.658075653228874
176,15,12.760473995649463
177,14,12.721114184500413
178,14,12.760357531837736
179,14,12.792075221954173
180,14,11.954249949410453
181,13,12.739467313819528
182,13,12.73169458289572
183,12,12.697353244795341
184,13,12.345483658283884
185,12,12.90388319048
186,11,12.479407791775017
187,11,12.619761704176195
188,11,12.777422705851173
189,10,12.667021019569944
190,12,12.88038447955533
191,11,12.919663016525744
192,11,12.694509432420407
193,12,12.68464283554104
194,11,12.833210946296568
195,9,12.059736510693112
196,10,12.421053255033657
197,10,12.769914629839368
198,10,12.437775596563698
199,9,12.796524381500387
200,10,12.629679703943703
201,13,12.756554215988029
202,13,11.941112999609963
203,13,12.635577085291494
204,14,12.98964372429513
205,16,12.743647627525986
206,17,12.78088795441387
207,17,12.709318885636542
208,11,12.883470482895468
209,12,12.064315340762004
210,14,12.335390062995923
211,15,12.590932423954058
212,14,12.597096330468107
213,14,12.565998166467935
214,11,12.712053754087778
215,11,12.145538995242328
216,13,12.44958934767574
217,14,12.48119029906264
218,13,12.664037826315376
219,13,12.693356898372741
220,12,12.52771488820258
221,14,12.067335107530749
222,16,12.26375991204884
223,14,12.538650563510807
224,13,12.407201216373716
225,13,12.522852399890127
226,12,12.738190542715705
227,12,12.072579902367137
228,12,12.596339698118195
229,13,11.857024933567027
230,12,12.64250878641918
231,12,12.592217648842494
232,11,12.630516416373311
233,12,11.302598816465999
234,13,11.672470939212374
235,12,12.561369251733277
236,11,12.631923864594627
237,12,12.980839639137768
238,11,12.562686075418576
239,11,12.642966088922382
240,12,12.690745262495424
241,11,12.66185868892545
242,10,12.84999923408036
243,12,12.024333606637272
244,12,12.335571456721281
245,12,12.596037070627593
246,12,12.396163792466492
247,11,12.352318910577342
248,11,12.690169311016714
249,11,12.82928560067537
250,12,12.624395764482088
251,10,12.688057936116598
252,11,12.953618658776877
253,10,12.50601252895943
254,10,12.774231667686948
255,11,12.435894851070643
256,11,12.719185351859826
257,11,12.765600508882619
258,11,12.167242494655097
259,11,11.941656962756916
260,11,12.604213120173092
261,11,12.64224204190265
262,11,12.554714112104215
263,10,12.769564727623676
264,11,12.42443828961595
265,11,12.545138587712398
266,11,11.989480665004917
267,11,12.230644963753958
268,9,7.638854437007695
269,9,12.52423595455292
270,9,12.21870894254943
271,9,12.551445526066152
272,9,12.092558742972466
273,12,12.299146101154172
274,11,12.623597855889532
275,12,12.531195755118626
276,10,12.190972242406627
277,10,12.225261961321538
278,12,12.266665106879538
279,11,12.551370406169296
280,11,12.66786268718023
281,10,12.39111000818333
282,10,12.558322803949865
283,13,12.58333983355434
284,12,12.66675323969353
285,12,11.830036638301832
286,12,12.104633712742134
287,11,12.495208134106704
288,12,12.600123769068547
289,13,12.465128996115702
290,17,12.291288880032353
291,14,12.382440291677737
292,14,11.78046225273074
293,14,12.479073628338595
294,13,12.356394574657381
295,13,12.461129382544394
296,16,12.517918964735095
297,14,12.661400018716021
298,15,12.605425289567167
299,13,12.438623962040332
300,12,11.65965396077036
301,13,12.291144804627747
302,16,12.357996464348851
303,15,12.231536646748847
304,13,12.605008580040812
305,12,12.371154940877009
306,12,12.272120547143588
307,13,12.73026481523636
308,11,12.610427953795181
309,11,12.514632166897409
310,12,12.55279783798667
311,7,11.85839937347858
312,5,12.460240928063218
313,10,12.231001621350503
314,13,12.514258776352928
315,10,12.239353351425487
316,11,12.474731131626534
317,10,12.401625045090862
318,11,12.347882406278888
319,11,12.341342560716534
320,10,12.495059238494148
321,11,12.46305480196946
322,10,12.584774546632902
323,9,12.53891295444286
324,12,12.369148377735968
325,12,12.20303162549824
326,6,12.390085105503056
327,5,12.417192153519133
328,8,12.452879037094657
329,10,12.45291600977397
330,9,12.170561215459033
331,10,12.503067411510097
332,7,12.385219132211638
333,8,12.44811140163173
334,6,12.508362161517356
335,9,12.620635078248887
336,8,12.306688379326028
337,7,11.967484128682502
338,6,12.561820703039597
339,6,12.284413047362147
340,3,12.414766403826572
341,6,12.388218754061175
342,6,12.433977813746939
343,2,12.407898590382652
344,2,12.321692126909518
345,8,12.423260677039368
346,5,12.480410389471272
347,7,12.425542504184504
348,6,12.405403087224899
349,5,12.253083498390328
350,6,12.101630168210278
351,6,11.797792504416117
352,3,12.428451208382226
353,7,12.509108261258575
354,6,12.412929345542146
355,3,11.697765481542632
356,6,12.13411945773617
357,5,12.374768395586239
358,5,12.273952078285399
359,4,12.470947830378858
360,3,11.489953183341049
361,2,12.33129198700516
362,2,12.53381703865957
363,2,12.612665277389361
364,2,12.357268281185553
365,3,12.465536508238428
366,1,12.384231769718408
367,3,12.152119368390554
368,4,12.32984199309179
369,3,12.216182210054173
370,5,12.510003698445459
371,5,12.353592266752278
372,5,12.27104343119615
373,5,12.382769299807215
374,5,12.185659500290528
375,6,12.635386761219344
376,6,12.489998898196317
377,6,12.433867233472366
378,5,12.157508616016951
379,6,12.361055771021702
380,5,12.3147460891624
381,5,12.612134315208337
382,4,12.596718002931212
383,5,7.454234601207804
384,3,12.413590623890139
385,4,12.10732419817162
386,5,11.763611733590615
387,0,12.602773971779525
388,0,12.399938507385027
389,1,12.47146697114584
390,2,12.361820834377165
391,3,12.142233904889833
392,3,12.454062271736612
393,3,12.45202872606038
394,3,11.409408679662041
395,3,12.329080882785219
396,3,12.337131663009524
397,3,12.712130809680401
398,4,12.25677156541585
399,3,12.473803639564727
400,3,12.325168085006347
401,3,12.451732992919592
402,3,12.579339467591204
403,3,12.636110023197663
404,3,12.49788886207133
405,2,12.226936957421627
406,2,12.209070268382138
407,2,12.263078645837902
408,2,12.388145575265673
409,2,12.691282864378932
410,1,11.174024008823482
411,1,12.614979277322956
412,2,12.663540764044672
413,2,12.297415208519022
414,2,12.514370791176725
415,2,12.536776661884266
416,2,11.585419008764394
417,2,12.306543942679252
418,3,12.044602577025021
419,3,12.161209885993296
